duration,director_fb_likes,movie_fb_likes,cast_total_fb_likes,num_voted_users,num_user_for_reviews,budget,imdb_score
122.0,681.0,30000,1327,53607,432.0,185000000.0,7.5
98.0,475.0,16000,2975,718837,1043.0,180000000.0,8.4
91.0,420.0,0,1125,121084,221.0,140000000.0,6.2
158.0,776.0,13000,2144,283418,1055.0,200000000.0,5.8
96.0,0.0,0,48878,72809,249.0,200000000.0,6.8
127.0,0.0,44000,47334,139593,720.0,176000000.0,5.4
110.0,282.0,29000,21175,42372,239.0,180000000.0,6.6
150.0,80.0,0,1317,286506,1463.0,180000000.0,6.9
144.0,0.0,54000,49684,148379,622.0,178000000.0,7.3
152.0,22000.0,37000,57802,1676169,4667.0,185000000.0,9.0
96.0,0.0,27000,2635,665575,704.0,175000000.0,8.3
94.0,11.0,0,2579,114553,187.0,175000000.0,6.5
126.0,4000.0,10000,39252,696338,1055.0,140000000.0,7.9
126.0,17000.0,42000,36017,245333,678.0,170000000.0,7.5
106.0,188.0,0,15870,129601,648.0,170000000.0,4.8
112.0,357.0,0,9131,117927,501.0,145000000.0,5.2
123.0,452.0,80000,11287,118992,971.0,175000000.0,6.9
96.0,293.0,2000,108016,115099,257.0,175000000.0,5.4
113.0,218.0,77000,12652,431620,741.0,178000000.0,7.9
176.0,58.0,0,1004,144337,309.0,175000000.0,6.1
118.0,208.0,0,26683,174578,534.0,175000000.0,5.8
95.0,0.0,118000,2944,345198,773.0,175000000.0,8.3
106.0,4000.0,65000,32921,106072,398.0,175000000.0,7.8
124.0,4000.0,18000,48638,522371,723.0,200000000.0,7.0
132.0,274.0,53000,72881,228554,710.0,170000000.0,6.1
97.0,171.0,89000,15516,252257,634.0,180000000.0,7.0
130.0,198.0,45000,14363,317542,620.0,170000000.0,7.6
128.0,47.0,35000,20965,116994,324.0,175000000.0,6.3
136.0,94.0,55000,36188,496749,742.0,170000000.0,7.8
93.0,31.0,0,4628,138661,173.0,165000000.0,6.4
130.0,663.0,37000,5046,128306,497.0,190000000.0,6.5
102.0,38.0,41000,2963,279093,433.0,165000000.0,7.9
101.0,66.0,40000,4451,272534,345.0,165000000.0,7.8
100.0,0.0,10000,16264,120798,444.0,165000000.0,6.6
120.0,776.0,67000,3233,58137,520.0,165000000.0,5.5
98.0,255.0,33000,20453,485430,492.0,165000000.0,8.2
109.0,84.0,0,1769,305340,1676.0,200000000.0,6.4
121.0,571.0,96000,32438,682155,1097.0,170000000.0,8.1
148.0,22000.0,175000,81115,1468200,2803.0,160000000.0,8.8
182.0,0.0,166000,9152,637246,1367.0,180000000.0,7.9
106.0,357.0,14000,45327,272223,988.0,38000000.0,6.7
166.0,21000.0,23000,13333,459346,822.0,150000000.0,7.8
132.0,905.0,54000,50983,518537,698.0,160000000.0,7.8
137.0,508.0,38000,81385,166137,383.0,160000000.0,6.6
109.0,226.0,11000,13388,124185,238.0,150000000.0,6.1
98.0,249.0,0,92456,82380,629.0,160000000.0,5.6
113.0,33.0,30000,80806,21352,131.0,170000000.0,6.4
93.0,50.0,0,4705,211971,326.0,160000000.0,6.1
123.0,0.0,89000,5505,111609,781.0,160000000.0,7.3
126.0,230.0,82000,38873,188457,867.0,155000000.0,6.6
113.0,150.0,11000,764,106446,227.0,155000000.0,6.3
184.0,0.0,0,5401,254111,1999.0,140000000.0,6.1
144.0,0.0,8000,2333,513158,1782.0,150000000.0,7.1
206.0,0.0,0,24598,138863,1390.0,155000000.0,5.5
138.0,282.0,0,33433,355137,1108.0,150000000.0,7.5
157.0,179.0,0,53413,385670,1896.0,150000000.0,7.6
102.0,532.0,0,21584,343648,590.0,150000000.0,6.4
104.0,508.0,11000,13076,530870,1413.0,150000000.0,7.2
115.0,13000.0,0,57844,320284,1361.0,150000000.0,6.7
111.0,663.0,10000,4764,473887,626.0,150000000.0,8.0
128.0,22000.0,15000,59558,980946,2685.0,150000000.0,8.3
89.0,35.0,0,3285,146019,119.0,150000000.0,6.7
105.0,189.0,2000,54039,130272,209.0,150000000.0,5.9
119.0,151.0,0,40054,361924,641.0,150000000.0,6.7
129.0,0.0,0,1062,364948,2121.0,150000000.0,6.7
102.0,69.0,58000,2582,421658,904.0,150000000.0,7.6
138.0,0.0,0,534,421818,2789.0,150000000.0,7.2
112.0,230.0,63000,59803,414070,532.0,170000000.0,7.1
120.0,750.0,191000,40025,552503,1588.0,150000000.0,8.1
146.0,2000.0,0,16948,207839,435.0,150000000.0,6.7
115.0,0.0,63000,60059,536314,738.0,150000000.0,7.0
96.0,59.0,0,20007,146766,178.0,150000000.0,6.9
88.0,12.0,0,2217,33042,90.0,150000000.0,5.1
99.0,473.0,19000,16184,152826,253.0,150000000.0,5.8
113.0,13000.0,82000,80849,199039,479.0,100000000.0,6.2
131.0,188.0,47000,21840,232187,440.0,150000000.0,7.4
119.0,394.0,0,13071,89442,432.0,150000000.0,5.8
91.0,58.0,0,6576,105902,206.0,150000000.0,6.2
90.0,90.0,20000,21015,182718,209.0,150000000.0,7.3
103.0,0.0,18000,2857,118951,1382.0,150000000.0,4.2
124.0,14000.0,0,34817,256695,871.0,150000000.0,6.9
131.0,776.0,33000,18204,164238,434.0,150000000.0,6.4
88.0,25.0,0,2652,17590,112.0,150000000.0,5.4
85.0,42.0,0,35161,85086,122.0,149000000.0,6.7
111.0,456.0,24000,21393,39956,186.0,150000000.0,5.8
92.0,50.0,11000,5810,47900,130.0,145000000.0,6.9
196.0,249.0,0,17944,381672,1694.0,175000000.0,7.2
93.0,35.0,17000,2444,119213,154.0,145000000.0,6.9
133.0,93.0,0,2538,169914,1185.0,142000000.0,6.1
116.0,176.0,62000,2097,69757,1211.0,144000000.0,5.5
153.0,0.0,11000,26029,322395,1171.0,140000000.0,6.6
88.0,188.0,2000,14823,270207,606.0,140000000.0,6.1
115.0,0.0,3000,31523,142440,505.0,150000000.0,6.3
95.0,5.0,24000,36095,64322,145.0,145000000.0,7.2
133.0,663.0,35000,21768,365104,512.0,145000000.0,7.4
97.0,52.0,25000,20645,123553,174.0,145000000.0,7.3
90.0,23.0,2000,1997,110788,258.0,100000000.0,6.1
154.0,380.0,0,11945,317166,928.0,140000000.0,7.7
150.0,0.0,51000,26490,128682,657.0,140000000.0,6.1
127.0,14000.0,19000,39284,504419,1559.0,150000000.0,8.0
121.0,0.0,5000,40484,544665,2012.0,139000000.0,7.3
102.0,255.0,46000,23378,221128,343.0,145000000.0,7.9
126.0,295.0,24000,19769,51892,273.0,140000000.0,5.5
121.0,357.0,0,2705,45455,388.0,135000000.0,5.0
215.0,0.0,18000,2530,392474,1229.0,130000000.0,7.7
