duration,director_fb_likes,movie_fb_likes,cast_total_fb_likes,num_voted_users,num_user_for_reviews,budget,imdb_score
111.0,79.0,979.0,26088.0,45602,114.0,86000000.0,6.1
110.0,96.0,788.0,2728.0,2508,24.0,90000000.0,4.4
110.0,545.0,19000.0,27694.0,88542,254.0,75000000.0,5.8
91.0,266.0,28000.0,37142.0,164148,168.0,85000000.0,7.1
115.0,79.0,19000.0,36237.0,166693,276.0,85000000.0,6.8
100.0,36.0,372.0,4182.0,26413,77.0,85000000.0,4.8
138.0,278.0,19000.0,17423.0,182757,483.0,85000000.0,6.9
83.0,28.0,863.0,6081.0,65270,100.0,85000000.0,6.2
139.0,168.0,49000.0,22226.0,341058,713.0,85000000.0,6.7
178.0,102.0,10000.0,23950.0,169023,703.0,90000000.0,7.1
108.0,99.0,941.0,1460.0,61417,339.0,85000000.0,5.5
106.0,763.0,18000.0,11454.0,70838,208.0,85000000.0,5.6
112.0,1000.0,36000.0,12687.0,273921,522.0,60000000.0,7.5
109.0,88.0,374.0,2818.0,39391,171.0,65000000.0,4.3
95.0,38.0,46000.0,578.0,203458,588.0,35000000.0,7.1
107.0,153.0,7000.0,12700.0,246492,685.0,70000000.0,6.4
162.0,21000.0,12000.0,36928.0,301279,589.0,65000000.0,7.7
113.0,13000.0,57000.0,46355.0,270226,741.0,80000000.0,6.5
142.0,378.0,140000.0,49942.0,701607,1959.0,78000000.0,7.3
102.0,480.0,56000.0,16143.0,375879,402.0,80000000.0,6.5
116.0,23.0,22000.0,25220.0,125036,205.0,84000000.0,6.7
101.0,221.0,14000.0,39269.0,107817,255.0,80000000.0,5.4
138.0,17000.0,53000.0,29585.0,786092,964.0,80000000.0,8.1
138.0,610.0,11000.0,17087.0,283967,535.0,80000000.0,7.3
117.0,221.0,19000.0,16325.0,172878,203.0,80000000.0,6.4
118.0,117.0,20000.0,44797.0,227072,560.0,80000000.0,6.9
134.0,452.0,82000.0,20411.0,303185,701.0,68000000.0,7.6
83.0,21.0,4000.0,14261.0,44143,216.0,80000000.0,7.0
89.0,266.0,16000.0,26839.0,56501,97.0,80000000.0,6.7
74.0,11.0,607.0,814.0,27543,186.0,80000000.0,7.3
96.0,25.0,3000.0,1919.0,103787,615.0,80000000.0,5.9
129.0,258.0,951.0,2864.0,71574,244.0,75000000.0,5.9
113.0,25.0,32000.0,49631.0,83560,619.0,85000000.0,7.0
91.0,287.0,665.0,5593.0,24183,160.0,80000000.0,5.7
97.0,750.0,964.0,2521.0,24868,216.0,80000000.0,5.8
106.0,42.0,21000.0,16922.0,58752,117.0,90000000.0,6.0
106.0,14.0,995.0,2.0,47612,348.0,70000000.0,5.7
105.0,545.0,20000.0,1099.0,84508,308.0,80000000.0,5.6
135.0,2000.0,29000.0,2827.0,610568,1171.0,58000000.0,8.2
73.0,28.0,17000.0,6458.0,644348,656.0,45000000.0,8.5
95.0,18.0,15000.0,848.0,64387,85.0,78000000.0,6.5
108.0,54.0,31000.0,30230.0,28276,64.0,81200000.0,7.8
92.0,5.0,413.0,28050.0,16611,197.0,76000000.0,4.1
87.0,11.0,36000.0,4782.0,24407,155.0,75000000.0,6.8
98.0,275.0,56000.0,11905.0,286877,284.0,76000000.0,7.5
